Lema;LlenguaOrigen;Lemes_Morfema;PluralIrregular;CatGramatical;NivellLlengua;CatSemantica
gautxisme;;;;masculí;;
gavan;;;;masculí;;
gavarnera;;;;femení;;
gavarrar;;;;masculí;;
gavatxisme;;;;masculí;;pejoratiu
gavatxo;;-a;;adjectiu i masculí i femení;;pejoratiu
gavellada;;;;femení;;
gavellador;;-a;;masculí i femení;;
gavinet;;;;masculí;col·loquial;
gelable;;;;adjectiu;;
gelamonita;;;;femení;;
gelatinitzador;;;;masculí;;
gemmulació;;;;femení;;
genitalia;;;;masculí plural;;
genollons;;;;loc. adv. s.l.;;
genoteràpia;;;;femení;;
geo;;;;masculí i femení;;
geosistema;;;;masculí;;
geoteràpia;;;;femení;;
geotermal;;;;adjectiu;;
gèrlera;;;;femení;;
germanofília;;;;femení;;
germanòfob;;-a;;adjectiu i masculí i femení;;
geropsiquiatria;;;;femení;;
geropsiquiàtric;;-a;;adjectiu;;
geropsiquiàtric;;-a;;masculí;;
gerovina;;;;femení;;
gerri;;;;masculí;;
gerundiu;;;;masculí;;
gesmí;;;;masculí;;
gesminer;;;;masculí;;
ghayn;;;;femení;;
gigatona;;;;femení;;
gimlet;;;;masculí;;
gimnet;;;;masculí i femení;;
gimnet;;;;adjectiu;;
ginea;;;;femení;antic;
ginefòbia;;;;femení;;
giner;;;;masculí;col·loquial;
ginestada;;;;femení;antic;
ginesteral;;;;masculí;;
gingebrada;;;;femení;;
gingebró;;;;masculí;;
giocoso;italià;-a;;adjectiu;;
giracaldes;;;;masculí invariable;;
girapedres;;;;masculí invariable;;
giratruites;;;;masculí invariable;;
giroflat;;-ada;;adjectiu;;
giromància;;;;femení;;
giromàntic;;-a;;adjectiu i masculí i femení;;
giropilot;;;;masculí;;
girostàtic;;-a;;adjectiu;;
gitanisme;;;;masculí;;
giterada;;;;femení;;
giterar;;;;verb transitiu;;
glaciòleg;;-òloga;;masculí i femení;;
glaciològic;;-a;;adjectiu;;
gladiatori;;-òria;;adjectiu;;
glai;;;;masculí;antic;
glicirrina;;;;femení;;
glicogenòlosi;;;;femení;;
glicosoma;;;;masculí;;
glide;;;;femení;;
gliosi;;;;femení;;
gliptologia;;;;femení;;
glissando;;;;masculí;;
globiforme;;;;adjectiu;;
globularina;;;;femení;;
globuliforme;;;;adjectiu;;
gloponada;;;;femení;;
glossàlgia;;;;femení;;
glossomania;;;;femení;;
glossoptosi;;;;femení;;
glotonament;;;;adverbi;;
glotonejar;;;;verb intransitiu;;
glotoneria;;;;femení;;
glotònim;;;;masculí;;
gluc-gluc;;;;onomatopeia i masculí;;
glutinositat;;;;femení;;
goal-average;anglés;;;masculí;;
gobelí;;;;masculí;;
goger;;-a;;masculí i femení;;
gogó;;;;masculí i femení;;
golerma;;;;adjectiu i masculí i femení;;
gom;;;;loc. adv. s.l.;;
gom;;;;loc. verb.;;
gonagra;;;;femení;;
gordelló;;-ona;;adjectiu;;
gordilló;;-ona;;adjectiu;;
goretex;;;-exs;masculí;;
gorgona;;;;femení;;
gorreria;;;;femení;;
gorrinar;;;;verb intransitiu;;
gorrinera;;;;femení;;
gorrita;;;;femení;;
gorritó;;-na;;adjectiu;;
gorritó;;-na;;masculí;;
gorritós;;-osa;;adjectiu;;
gorro;;;;masculí;col·loquial;
gorró;;;;masculí;;
gorronera;;;;femení;;
gotarrada;;;;femení;;
gotarraina;;;;femení;;
gouache;francés;;;masculí;;
govanella;;;;femení;;
grafi;;;;masculí;;
gralleig;;;;masculí;;
gramal;;;;masculí;;
gramatòleg;;-òloga;;masculí i femení;;
gramatologia;;;;femení;;
grança;;;;femení;;
grançons;;;;masculí plural;;
grandós;;-osa;;adjectiu;;
grandús;;-usa;;adjectiu;;pejoratiu
granel;;;;loc. adv. s.l.;;
grangeria;;;;femení;;
granilló;;;;masculí;;
granillós;;-osa;;adjectiu;;
granós;;-osa;;adjectiu;;
granotada;;;;femení;;
granull;;;;masculí;;
granulocitosi;;;;femení;;
granulosi;;;;femení;;
graonar;;;;verb transitiu;;
grapameus;;;;loc. adv. s.l.;;
gratcient;;;;loc. adv. s.l.;;
gratellós;;-osa;;adjectiu;;
gravó;;;;masculí;;
gravós;;-osa;;adjectiu;;
greguejar;;;;verb intransitiu;;
grenxera;;;;femení;;
greujol;;;;masculí;;
griances;;;;femení plural;;
grilladura;;;;femení;col·loquial;
gripada;;;;femení;;
gripar;;;;verb transitiu i pronominal;;
gripós;;-osa;;adjectiu i masculí i femení;;
griposi;;;;femení;;
groguilló;;-ona;;adjectiu;;
groguisme;;;;masculí;;
grogús;;-ussa;;adjectiu;;
gropós;;-osa;;adjectiu;;
grossala;;;;femení;;
gruga;;;;femení;;
grugar-se;;;;verb pronominal;;
grumalló;;;;masculí;;
gua;;;;masculí;;
guadamassileria;;;;femení;;
guaflex;;;-exs;masculí;;
guanera;;;;femení;;
guanyable;;;;adjectiu;;
guapor;;;;femení;;
guardaesquís;;;;masculí invariable;;
guardamalles;;;;masculí invariable;;
guardameta;;;;masculí i femení;;
guardamolls;;;;masculí i femení invariable;;
guardavent;;;;masculí;;
guardavia;;;;masculí i femení;;
guardejar;;;;verb transitiu;antic;
guardetes;;;;femení plural;;
guardiania;;;;femení;;
guardonable;;;;adjectiu;;
guata;;;;femení;;
guatler;;;;masculí;;
guatller;;;;masculí;;
guatlot;;;;masculí;;
gubiada;;;;femení;;
guc-guc;;;;onomatopeia i masculí;;
guilindaina;;;;femení;;
guillet;;;;masculí;;
guillotinador;;-a;;adjectiu i masculí i femení;;
guindamaina;;;;femení;;
guindera;;;;femení;;
guinxó;;;;masculí;;
guinyejar;;;;verb intransitiu;;
guinyolesc;;-a;;adjectiu;;
guinyot;;;;masculí;;
guipador;;-a;;adjectiu;;
guisguet;;-a;;masculí i femení;;
guisopo;;;;masculí;col·loquial;
guitarreria;;;;femení;;
guixassos;;;;masculí plural;;
gurri;;;;interjecció;;
hadopelàgic;;-a;;adjectiu;;
halotar;;;;verb transitiu;;
hamburguesera;;;;femení;;
hamperolada;;;;femení;;
hamza;;;;femení;;
haplofase;;;;femení;;
haptonomia;;;;femení;;
haquinyol;;;;masculí;;
harcar;;;;verb transitiu i pronominal;;
hectovat;;;;masculí;;
hectowatt;;;;masculí;;
hedònic;;-a;;adjectiu;;
hedònic;;-a;;locució;;
hedrera;;;;femení;;
helcoplàstia;;;;femení;;
heliasta;;;;masculí;;
helicòmetre;;;;masculí;;
heliograma;;;;masculí;;
heliometria;;;;femení;;
heliomotor;;;;masculí;;
helioplàstia;;;;femení;;
helioscòpia;;;;femení;;
heliosismologia;;;;femení;;
helmintològic;;-a;;adjectiu;;
hematidrosi;;;;femení;;
hematocele;;;;femení;;
hematopatia;;;;femení;;
hemiatròfia;;;;femení;;
hemodonació;;;;femení;;
hemolitzar;;;;verb transitiu;;
hemorroïssa;;;;femení;;
hemotòxic;;-a;;adjectiu i masculí;;
hepatític;;-a;;adjectiu;;
hepatític;;-a;;adjectiu i masculí i femení;;
hepatocele;;;;femení;;
hepatograma;;;;masculí;;
hepatotoxina;;;;femení;;
heptacampió;;-ona;;adjectiu;;
herboritzador;;-a;;adjectiu i masculí i femení;;
hermes;;;;masculí invariable;;
herniació;;;;femení;;
herodes;;;;masculí invariable;;
herodes;;;;loc. verb.;;
herpetofòbia;;;;femení;;
hespèrida;;;;femení;;
hetaira;;;;femení;;
heterocerca;;;;adjectiu;;
heterocicle;;;;masculí;;
heterocont;;-a;;adjectiu;;
heterodeterminació;;;;femení;;
heteròpode;;;;masculí plural;;
heteròpode;;;;masculí singular;;
heteròpsid;;-a;;adjectiu;;
heterosexisme;;;;masculí;;
heterotrasplantament;;;;masculí;;
heteu;;-ea;;adjectiu i masculí i femení;;
heus ací;;;;loc. orac.;;
hevicultor;;-a;;adjectiu i masculí i femení;;
hexàlite;;;;masculí;;
hexosamina;;;;femení;;
hialúrgia;;;;femení;;
hic;;;;pronom;antic;
hidatidosi;;;;femení;;
hidràcida;;;;femení;;
hidrargirisme;;;;masculí;;
hidratador;;-a;;adjectiu i masculí i femení;;
hidrocistoma;;;;masculí;;
hidroclorat;;;;masculí;;
hidroclòric;;-a;;adjectiu;;
hidroenergia;;;;femení;;
hidroeòlic;;-a;;adjectiu;;
hidroestable;;;;adjectiu;;
hidrofitologia;;;;femení;;
hidroftàlmia;;;;femení;;
hidrofugar;;;;verb transitiu;;
hidrògraf;;-a;;masculí i femení;;
hidrògraf;;-a;;masculí;;
hidrojardinera;;;;femení;;
hidrojet;;;;masculí;;
hidrolipídic;;-a;;adjectiu;;
hidroma;;;;masculí;;
hidromecànic;;-a;;adjectiu;;
hidromecànica;;;;femení;;
hidròmetra;;;;masculí i femení;;
hidromineral;;;;adjectiu;;
hidromodelisme;;;;masculí;;
hidroni;;;;masculí;;
hidronímic;;-a;;adjectiu;;
hidroquinol;;;;masculí;;
hidrorrea;;;;femení;;
hidroscopi;;;;masculí;;
hidroterapeuta;;;;masculí i femení;;
hidrotímetre;;;;masculí;;
hidrotractament;;;;masculí;;
hidrotropisme;;;;masculí;;
hieròdul;;-a;;masculí i femení;;
himnejar;;;;verb intransitiu;;
hipema;;;;femení;;
hiperacúsia;;;;femení;;
hipercalciúria;;;;femení;;
hipercalèmia;;;;femení;;
hipercatalèctic;;-a;;adjectiu;;
hipercompressor;;;;masculí;;
hiperdúlic;;-a;;adjectiu;;
hiperenllaç;;;;masculí;;
hiperexcitar;;;;verb transitiu i pronominal;;
hiperfuncionament;;;;masculí;;
hiperglucèmic;;-a;;adjectiu;;
hipergonadisme;;;;masculí;;
hiperlumínic;;-a;;adjectiu;;
hiperovària;;;;femení;;
hiperòxia;;;;femení;;
hiperplàsic;;-a;;adjectiu;;
hiperqueratosi;;;;femení;;
hipersecreció;;;;femení;;
hipersfera;;;;femení;;
hipertensiu;;-iva;;adjectiu;;
hipertèrmic;;-a;;adjectiu;;
hiperventilar;;;;verb transitiu i intransitiu;;
hipervincle;;;;masculí;;
hipnal;;;;masculí;;
hipnofòbia;;;;femení;;
hipnoteràpia;;;;femení;;
hipnotista;;;;adjectiu i masculí i femení;;
hipocastanaci;;-àcia;;adjectiu;;
hipocastanaci;;-àcia;;femení singular;;
hipocastanaci;;-àcia;;femení plural;;
hipocentaure;;;;masculí;;
hipoclorhídria;;;;femení;;
hipoclorhídric;;-a;;adjectiu;;
hipoclorhídric;;-a;;adjectiu i masculí i femení;;
hipodermosi;;;;femení;;
hipòfag;;-a;;adjectiu;;
hipofàgia;;;;femení;;
hipofeta;;;;masculí i femení;;
hipogonadisme;;;;masculí;;
hipohèmia;;;;femení;;
hipologia;;;;femení;;
hipostatització;;;;femení;;
hipostatitzar;;;;verb transitiu;;
hipovolèmia;;;;femení;;
hipovolèmic;;-a;;adjectiu;;
hippiós;;-osa;;adjectiu;;
hippisme;;;;masculí;;
hispanització;;;;femení;;
hispanòfob;;-a;;adjectiu i masculí i femení;;
hispanofòbia;;;;femení;;
hispanojueu;;-a (o -eva);;adjectiu;;
histamínic;;-a;;adjectiu;;
histeràlgia;;;;femení;;
histerocele;;;;femení;;
histerotomia;;;;femení;;
hittita;;;;adjectiu;;
hittita;;;;masculí i femení;;
hittita;;;;masculí;;
hivernesc;;-a;;adjectiu;;
hivernesc;;-a;;locució;;
hoc;;;;adverbi;antic;
holobiont;;;;adjectiu i masculí;;
hologràmic;;-a;;adjectiu;;
holter;;;;masculí;;
homeotèrmic;;-a;;adjectiu;;
homoneure;;;;masculí plural;;
homoneure;;;;masculí singular;;
honrador;;-a;;adjectiu;;
honta;;;;femení;antic;
hoploteca;;;;femení;;
horrend;;-a;;adjectiu;;
horridesa;;;;femení;;
horrorífic;;-a;;adjectiu;;
hortera;;;;adjectiu;;
horterada;;;;femení;;
hostalatenc;;-a;;adjectiu i masculí i femení;;
hostalatenc;;-a;;adjectiu;;
hostat;;-ada;;adjectiu;;
hosti;;;;interjecció;col·loquial;
hostiar;;;;verb transitiu;vulgar;
hostiari;;;;masculí;;
hot-dog;anglés;;;masculí;;
huitantó;;-ona;;adjectiu i masculí i femení;;
huitmesí;;-ina;;adjectiu i masculí i femení;;
hula-hoop;anglés;;;masculí;;
humanar;;;;verb transitiu i pronominal;;
humectatiu;;-iva;;adjectiu;;
humerocubital;;;;masculí;;
humiliós;;-osa;;adjectiu;;
humilis;;;;adjectiu invariable;;
humiltat;;;;femení;col·loquial;
humir;;;;verb transitiu;;
humoralisme;;;;masculí;;
humoralista;;;;adjectiu;;
humoralista;;;;masculí i femení;;
huronià;;;;adjectiu;;
hurtes;;;;loc. adv.;;
iatagan;;;;masculí;;
ibadisme;;;;masculí;;
ibier;;-a;;adjectiu i masculí i femení;;
iconoteca;;;;femení;;
ictiol;;;;masculí;;
ictionímia;;;;femení;;
idempotència;;;;femení;;
ideoplàstia;;;;femení;;
idolopeia;;;;femení;;
ie;;;;interjecció;col·loquial;
ignorable;;;;adjectiu;;
ignorador;;-a;;adjectiu;;
ignorantista;;;;masculí i femení;;
ignorantista;;;;adjectiu;;
il·limitació;;;;femení;;
il·líquid;;-a;;adjectiu;;
il·luminància;;;;femení;;
il·lusiu;;-iva;;adjectiu;;
il·lustrable;;;;adjectiu;;
imaginabilitat;;;;femení;;
imaginador;;-a;;adjectiu;;
imaginologia;;;;femení;;
imantador;;-a;;adjectiu i masculí i femení;;
imbecil·lada;;;;femení;;
imbecil·litzar;;;;verb transitiu i pronominal;;
imela;;;;femení;;
immaculable;;;;adjectiu;;
immesclable;;;;adjectiu;;
immunocomplex;;-a;;adjectiu;;
impastació;;;;femení;;
impastar;;;;verb transitiu;;
implantament;;;;masculí;;
implaticable;;;;adjectiu;;
impondre;;;;verb transitiu i pronominal;col·loquial;
imponible;;;;adjectiu;;
importunació;;;;femení;;
imposador;;-a;;adjectiu;;
impossibilitació;;;;femení;;
imprecaució;;;;femení;;
impreciable;;;;adjectiu;;
impreparació;;;;femení;;
impreparat;;-ada;;adjectiu;;
impressionador;;-a;;adjectiu;;
imprimació;;;;femení;;
imprimar;;;;verb transitiu;;
improlongable;;;;adjectiu;;
improvable;;;;adjectiu;;
inamagable;;;;adjectiu;;
inaptitud;;;;femení;;
inaugurador;;-a;;adjectiu;;
incalcigable;;;;adjectiu;;
incalmable;;;;adjectiu;;
incardinable;;;;adjectiu;;
incautació;;;;femení;;
inclinament;;;;masculí;;
incohesió;;;;femení;;
incompassiu;;-iva;;adjectiu;;
incompensable;;;;adjectiu;;
inconduent;;;;adjectiu;;
inconformitat;;;;femení;;
inconstituïble;;;;adjectiu;;
incontable;;;;adjectiu;;
incordiar;;;;verb transitiu;;
incordiós;;-osa;;adjectiu;;
incrassar;;;;verb transitiu;;
incult;;-a;;adjectiu;;
inculturació;;;;femení;;
incus;;;;masculí invariable;;
indefendible;;;;adjectiu;;
indefinir;;;;verb transitiu;;
independització;;;;femení;;
inderrocable;;;;adjectiu;;
indianer;;-a;;masculí i femení;;
indiferenciar;;;;verb transitiu;;
indispondre;;;;verb transitiu i pronominal;;
indocumentació;;;;femení;;
indoeuropeística;;;;femení;;
indominable;;;;adjectiu;;
indumentarista;;;;masculí i femení;;
inencollible;;;;adjectiu;;
inermitat;;;;femení;;
inestimabilitat;;;;femení;;
inexpressat;;-ada;;adjectiu;;
infartar;;;;verb transitiu i pronominal;;
infectocontagiós;;-osa;;adjectiu;;
inferiorització;;;;femení;;
inferioritzar;;;;verb transitiu;;
infernat;;-ada;;adjectiu;antic;
inflabou;;;;masculí;;
inflacionisme;;;;masculí;;
infoliat;;-ada;;adjectiu;;
informulat;;-ada;;adjectiu;;
infovia;;;;femení;;
infra;llatí;;;adverbi;;
infraaxil·lar;;;;adjectiu;;
infradotar;;;;verb transitiu;;
infraorbitari;;-ària;;adjectiu;;
infrarepresentar;;;;verb transitiu;;
infravivenda;;;;femení;;
infreqüentable;;;;adjectiu;;
ingeniar;;;;verb transitiu i pronominal;;
ingràcil;;;;adjectiu;;
inhabilitament;;;;Masculí;;
inhonestedat;;;;femení;;
injungir;;;;verb transitiu;antic;
innatural;;;;adjectiu;;
innivar-se;;;;verb pronominal;;
innoblesa;;;;femení;;
inocultable;;;;adjectiu;;
inoesclerosi;;;;femení;;
inoperativitat;;;;femení;;
inoposable;;;;adjectiu;;
inorganitzat;;-ada;;adjectiu;;
inoxidabilitat;;;;femení;;
input-output;anglés;;;masculí;;
inquilinisme;;;;masculí;;
insculpir;;;;verb transitiu;;
insectífug;;-a;;adjectiu i masculí;;
inselberg;alemany;;;masculí;;
inseminador;;-a;;adjectiu;;
insonoritat;;;;femení;;
inspiròmetre;;;;masculí;;
instador;;-a;;adjectiu;;
instigament;;;;masculí;;
instrumentalitat;;;;femení;;
insulínic;;-a;;adjectiu;;
insusceptible;;;;adjectiu;;
intensímetre;;;;masculí;;
intentable;;;;adjectiu;;
interceptació;;;;femení;;
intercervical;;;;adjectiu;;
intercreiximent;;;;masculí;;
intercultiu;;;;masculí;;
interlobular;;;;adjectiu;;
interoperatiu;;-iva;;adjectiu;;
interpondre;;;;verb transitiu i pronominal;;
interposador;;-a;;adjectiu;;
interraïl;;;;masculí;;
intertònica;;;;adjectiu i femení;;
intraabdominal;;;;adjectiu;;
intrahistòria;;;;femení;;
intralobular;;;;adjectiu;;
intranscendental;;;;adjectiu;;
intravaginal;;;;adjectiu;;
intrencable;;;;adjectiu;;
intríngulis;;;;masculí invariable;;
intubador;;;;masculí;;
intuïcionista;;;;masculí i femení;;
intuïcionista;;;;adjectiu;;
inurbanitat;;;;femení;;
inusat;;-ada;;adjectiu;;
invariació;;;;femení;;
inverecund;;;;adjectiu i masculí i femení;;
inverecúndia;;;;femení;;
invidència;;;;femení;;
involucrable;;;;adjectiu;;
iridotomia;;;;femení;;
irreconciliació;;;;femení;;
irreglamentable;;;;adjectiu;;
irrepel·lible;;;;adjectiu;;
irrescabalable;;;;adjectiu;;
irrescindible;;;;adjectiu;;
irrespectuositat;;;;femení;;
irretrobable;;;;adjectiu;;
irritador;;-a;;adjectiu i masculí i femení;;
irruptor;;-a;;adjectiu;;
iseta;;;;femení;;
isidorià;;-ana;;adjectiu i masculí i femení;;
islamòfil;;-a;;adjectiu i masculí i femení;;
islamofília;;;;femení;;
isocolon;;;;masculí;;
isodàctil;;-a;;adjectiu;;
isodínama;;;;femení;;
isoentròpic;;-a;;adjectiu;;
isofena;;;;femení;;
isòfon;;-a;;adjectiu;;
isofonia;;;;femení;;
isofònic;;-a;;adjectiu;;
isoftàlic;;;;adjectiu s.l.;;
isogeoterma;;;;femení;;
isograda;;;;femení;;
isopatia;;;;femení;;
isosil·labisme;;;;masculí;;
isotonia;;;;femení;;
isquiofemoral;;;;adjectiu;;
italianada;;;;femení;;
italianista;;;;masculí i femení;;
italianofilia;;;;femení;;
j;;;;femení;;
jabugo;castellà;;;masculí;;
jaïlla;;;;femení;antic;
jaïment;;;;masculí;;
jama;;;;femení;;
janfutre;;;;masculí;col·loquial;
janglador;;-a;;adjectiu;;
jaquetó;;;;masculí;;
jargonesc;;-a;;adjectiu;;
jaseu;;;;interjecció;;
jassinada;;;;femení;;
jatsia;;;;conjunció;antic;
jazzman;anglés;;;masculí;;
jazz-rock;anglés;;;masculí;;
jeans;anglés;;;masculí plural;;
jesuïtina;;;;adjectiu i femení;;
jim;;;;femení;;
jívaro;;-a;;adjectiu;;
jívaro;;-a;;masculí i femení;;
jive;anglés;;;masculí;;
joguiner;;-a;;adjectiu;;
joguineria;;;;femení;;
joli;;;;loc. adv. s.l.;;
jolivarda;;;;femení;;
jóncera;;;;femení;;
jonegada;;;;femení;;
joquejar;;;;verb intransitiu;;
jornea;;;;femení;antic;
josefí;;-ina;;adjectiu;;
jovenall;;;;masculí i femení;;
judeoconvers;;-a;;adjectiu i masculí i femení;;
judia;;;;femení;;
jugarota;;;;femení;;
jugarrita;;;;adjectiu;;
jugater;;-a;;adjectiu;;
jugatera;;;;femení;;
jugulació;;;;femení;;
juncada;;;;femení;;
juncar;;;;masculí;;
junçat;;-ada;;adjectiu;;
junceda;;;;femení;;
juncós;;-osa;;adjectiu;;
junquet;;;;masculí;;
juntadora;;;;femení;;
junyiment;;;;masculí;;
juramental;;;;adjectiu;;
juridicitat;;;;femení;;
jurisperícia;;;;femení;;
jus;;;;adverbi i preposició;antic;
justiciat;;;;masculí;;
justificabilitat;;;;femení;;
k;;;;femení;;
ka;;;;masculí;;
kaf;;;;femení;;
kakemono;;;;masculí;;
katiuska;;;;femení;;
kha;;;khas;femení;;
kibbuts;;;;masculí;;
kiribatià;;-ana;;adjectiu i masculí i femení;;
kiribatià;;-ana;;adjectiu;;
kit;anglés;;;masculí;;
kleenex;anglés;;;masculí invariable;;
kremlinòleg;;-òloga;;masculí i femení;;
kremlinologia;;;;femení;;
krill;noruec;;;masculí;;
kúfia;;;;femení;;
kung-fu;;;;masculí;;
kuru;;;;masculí;;
kyrie;grec;;;masculí;;
laberintiforme;;;;adjectiu;;
labiodentalització;;;;femení;;
labiodentalitzar;;;;verb transitiu i pronominal;;
lacador;;-a;;masculí i femení;;
lactoalbúmina;;;;femení;;
lactovegetarià;;-ana;;adjectiu i masculí i femení;;
lam;;;;femení;;
lambrusco;;;;masculí;;
lamentador;;-a;;adjectiu i masculí i femení;;
làmpara;;;;femení;col·loquial;
laringoespasme;;;;masculí;;
laringològic;;-a;;adjectiu;;
lassament;;;;masculí;;
lassesa;;;;femení;;
lateritzar-se;;;;verb pronominal;;
latifoliat;;-ada;;adjectiu;;
latrocini;;;;masculí;;
laudatio;llatí;;;femení;;
lausenger;;-a;;adjectiu;antic;
lausengeria;;;;femení;antic;
laxació;;;;femení;;
laxiflora;;;;adjectiu i femení;;
laxista;;;;masculí i femení;;
laxista;;;;adjectiu;;
leasing;anglés;;;masculí;;
legislable;;;;adjectiu;;
legitimable;;;;adjectiu;;
lehendakaritza;basc;;;femení;;
leima;;;;masculí;;
leixaprén;;;;masculí;;
lemúries;;;;femení plural;;
lenees;;;;femení plural;;
lento;italià;;;adverbi;;
lento;italià;;;masculí;;
leotard;;;;masculí;;
leptorrí;;-ina;;adjectiu;;
lesionador;;-a;;adjectiu;;
let;;;;masculí;;
letificar;;;;verb transitiu;;
leucocitoma;;;;masculí;;
leucòpter;;-a;;adjectiu;;
leucorreic;;-a;;adjectiu;;
leucotermes;;;;femení invariable;;
levorotació;;;;femení;;
lexiarca;;;;masculí;;
libatori;;;;masculí;;
licnobi;;-òbia;;adjectiu;;
licra;;;;femení;;
liechtensteinés;;-esa;;adjectiu i masculí i femení;;
liechtensteinés;;-esa;;adjectiu;;
lignum crucis;llatí;;;masculí invariable;;
ligúric;;-a;;adjectiu;;
liler;;;;masculí;;
limfangioma;;;;masculí;;
limfopoesi;;;;femení;;
limni;;límnia;;adjectiu;;
linarita;;;;femení;;
linealisme;;;;masculí;;
lingam;;;;masculí;;
linoxina;;;;femení;;
linxador;;-a;;adjectiu i masculí i femení;;
lipemania;;;;femení;;
lipemaníac;;-a;;adjectiu;;
lipocrom;;;;masculí;;
lipoescultura;;;;femení;;
lipofibroma;;;;masculí;;
lipofuscina;;;;femení;;
liposuccionadora;;;;femení;;
lipotròpic;;-a;;adjectiu;;
lipovitamínic;;-a;;adjectiu;;
liquidesa;;;;femení;;
lisol;;;;masculí;;
lisosomàtic;;-a;;adjectiu;;
litas;;;;masculí invariable;;
litobi;;;;masculí;;
litòbid;;-a;;adjectiu;;
litòbid;;-a;;masculí plural;;
litòbid;;-a;;masculí singular;;
litodom;;;;masculí;;
litoptern;;;;masculí singular;;
litoptern;;;;masculí plural;;
litotipografia;;;;femení;;
litrona;;;;femení;col·loquial;
livermori;;;;masculí;;
lixosa;;;;femení;;
llacorella;;;;femení;;
llacoretes;;;;masculí invariable;col·loquial;
lladoncs;;;;adverbi;antic;
lladonenc;;-a;;adjectiu i masculí i femení;;
lladonenc;;-a;;adjectiu;;
llàdria;;;;femení;antic;
lladronícia;;;;femení;;
llafardar;;;;verb transitiu;;
llaganya;;;;femení;col·loquial;
llagastrada;;;;femení;;
llaguiar;;;;verb transitiu;antic;
llambilenc;;-a;;adjectiu i masculí i femení;;
llambilenc;;-a;;adjectiu;;
llambrosí;;;;masculí;;
llambrusc;;-a;;adjectiu;;
llamparnada;;;;femení;;
llampegador;;-a;;adjectiu;;
llampegós;;-osa;;adjectiu;;
llampejar;;;;verb intransitiu;;
llançadís;;-issa;;adjectiu;;
llancetada;;;;femení;;
llançol;;;;masculí;col·loquial;
llanfarnada;;;;femení;;
llangost;;;;masculí;;
llangosta;;;;femení;;
llangostada;;;;femení;;
llangoster;;-a;;masculí i femení;;
llangostera;;;;femení;;
llangostí;;;;masculí;;
llangostiner;;;;masculí;;
llanguent;;;;adjectiu;;
llargandada;;;;femení;;
llargar;;;;verb transitiu;;
llargarut;;-uda;;adjectiu;;
llarg-estés;;-esa;;adjectiu;;
llastimenc;;-a;;adjectiu;;
llatinat;;-ada;;adjectiu;;
llatinitzador;;-a;;adjectiu i masculí i femení;;
llauger;;-a;;adjectiu;col·loquial;
llaurable;;;;adjectiu;;
llauradoria;;;;femení;;
llauramenta;;;;femení;col·loquial;
llautoner;;-a;;masculí i femení;;
llautoneria;;;;femení;;
llavaneria;;;;femení;;
llavatasses;;;;femení invariable;;
llavativa;;;;femení;;
llavatori;;;;masculí;;
llavigirat;;-ada;;adjectiu;;
llavó;;;;masculí;col·loquial;
lleal;;;;adjectiu;;
llealisme;;;;masculí;;
llealista;;;;adjectiu i masculí i femení;;
llealment;;;;adverbi;;
llealtat;;;;femení;;
llebrat;;;;masculí;;
llebratí;;;;masculí;;
llebrató;;;;masculí;;
llefiscor;;;;femení;;
llegatari;;-ària;;masculí i femení;;
llegimenta;;;;femení;col·loquial;
llegítim;;-a;;adjectiu;col·loquial;
llegumada;;;;femení;;
llemenar-se;;;;verb pronominal;;
llençolada;;;;femení;;
llenegador;;-a;;adjectiu;;
llenguada;;;;femení;;
llengüejar;;;;verb transitiu;;
llenguot;;;;masculí;;
llenguota;;;;femení;;
llenguotaire;;;;adjectiu i masculí i femení;;
llenguotejar;;;;verb intransitiu;;
llenguoter;;-a;;adjectiu i masculí i femení;;
llepafaldons;;;;masculí i femení invariable;col·loquial;
llepalassa;;;;femení;;
llepallosa;;;;femení;;
llepapaelles;;;;masculí i femení invariable;col·loquial;
lleparassa;;;;femení;;
llepassar;;;;masculí;;
llepassera;;;;femení;;
llepassó;;;;masculí;;
llepatacons;;;;masculí i femení invariable;col·loquial;
llepoló;;-ona;;adjectiu i masculí i femení;;
llerada;;;;femení;;
llesquívol;;-a;;adjectiu;;
lletxola;;;;femení;;
lleuderia;;;;femení;;
llevantinisme;;;;masculí;;
llévens;;;;masculí (o femení) plural;;
llibertarisme;;;;masculí;;
llibrejoc;;;;masculí;;
llicera;;;;femení;;
llicsonar;;;;masculí;;
llidó;;;;masculí;;
llidoner;;;;masculí;;
lliguer;;-a;;adjectiu;;
llinyolera;;;;femení;;
llissera;;;;femení;;
llistonada;;;;femení;;
llistoner;;-a;;masculí i femení;;
lliter;;-a;;masculí i femení;;
lloament;;;;masculí;antic;
llobet;;;;masculí;;
llòfia;;;;femení;col·loquial;
llogader;;-a;;adjectiu i masculí i femení;;
llògic;;-a;;adjectiu i masculí i femení;col·loquial;
llogrejar;;;;verb intransitiu;;
llomàntol;;;;masculí;;
llombo;;;;masculí;;
llonge;;;;masculí;;
llongera;;;;femení;;
llorentí;;-ina;;adjectiu;;
llorentinista;;;;masculí i femení;;
llosam;;;;masculí;;
llosar;;;;masculí;;
llosmo;;;;masculí;;
llúcies;;;;femení plural;;
lluïssa;;;;femení;;
llumenària;;;;femení;;
llumenet;;;;masculí;;
llunt;;;;adverbi;col·loquial;
lluquereta;;;;femení;;
lobbístic;;-a;;adjectiu;;
